Datetime,51J,51V,54J,57C,589,60A,60D,647,654,663,668,67V,680,690,695,709,71R,71U,71W,71X,71Y,833,851,864,A07,AD9,E65,E66,E67,F06,F0S,F46,F69,H34,IN1,IQ0,J60,JA1,JA2,JA3,JA4,JC9,JD0,JD1,JD3,JL1,L02,L59,L85,M48,M73,MB6,MB7,MW8,MW9,MX0,MX1,MY9,S31,S47,SB1,SB2,SB5,SB6,SD7,SD8,SH7,SH8,V45,V47,X03,X05,X08,Y32,Y33,Y46,Y47
2014/1/2 00:00,501.6655579,392.748435,201.4663392,270.1207911,1236.079935,417.6229323,607.0972275,262.3259625,230.846847,263.7875891,232.1001564,5997.521006,394.2410458,11497.07238,14281.56707,909.8963385,7804.122434,302.2793802,7358.618,6558.716182,8404.46385,226.7095918,1014.526922,529.4487426,678.2100484,624.1738982,5923.170333,4311.139818,5951.475996,226.7095918,302.2793802,1014.526922,529.4487426,10.37,1592.843244,1592.843244,273.1188021,474.2853402,664.2015114,587.3103549,826.3424008,731.8144851,908.6474208,408.9287004,505.4646546,658.3632156,1530.784417,1142.393678,664.3592376,607.6968297,454.3237104,689.8423311,693.8313186,2069.227192,2081.493956,2086.851446,391.8400377,2058.734154,3091.848744,2861.901301,664.0774246,555.2286392,538.7316237,432.7639104,532.1139744,446.4787882,552.5903895,461.0461236,687.7437234,6997.957276,1939.113515,1325.420663,1442.343092,1963.097603,1974.085905,323.4853869,325.104829
2014/1/3 00:00,497.4231383,390.1237758,201.8767296,270.37062,1236.494969,418.4736374,609.5355422,262.5599132,231.0166742,263.3257374,231.7430555,5997.120763,395.3987708,11546.62794,14267.57909,910.5481658,7837.44345,305.6426036,7390.430692,6658.796723,8427.96997,226.9611149,1015.992708,530.226827,674.0339557,624.8234987,5934.334697,4319.32086,5959.282926,226.9611149,305.6426036,1015.992708,530.226827,10.41,1602.096129,1602.096129,274.5763852,474.3502322,660.7753317,586.4038336,820.7395647,733.3052038,905.6436576,409.1608716,504.691824,659.7043128,1531.198945,1136.566384,665.412137,604.1281298,449.1303465,690.94714,693.178343,2071.639773,2078.304535,2076.84711,394.1402816,2061.12536,3074.714773,2845.800981,660.7978118,551.5740895,535.1131726,429.1471223,529.4667851,443.5189692,549.8377093,457.9898056,686.440963,7002.89947,1944.865993,1326.618509,1447.384052,1964.693172,1976.583689,323.8439204,325.6707718
2014/1/6 00:00,499.0396732,392.4040147,202.580262,270.3085884,1238.763184,419.3713782,612.276165,263.6566992,231.9090462,262.4514219,230.8258202,6002.120569,393.4717718,11606.33722,14268.07503,915.2394822,7877.348606,305.829754,7428.648443,6666.547346,8414.54638,227.7969692,1017.13433,531.8487774,678.5138635,626.6351749,5955.254986,4334.61289,5933.291457,227.7969692,305.829754,1017.13433,531.8487774,10.37,1604.61709,1604.61709,273.0298158,473.4935676,656.3339158,585.3662496,814.8726464,735.3361152,903.58862,408.4864686,503.7294276,661.5606168,1533.865178,1132.771552,667.9101474,608.9502204,450.5621437,695.7271386,694.120349,2087.786133,2082.771769,2079.480889,394.2756144,2077.203582,3094.337912,2863.638301,667.4928925,554.6284743,539.1466862,430.4162247,534.7635143,445.9214869,555.3420406,460.4709827,689.0752494,7022.580844,1949.910611,1329.773123,1454.042507,1974.401658,1969.001747,323.523702,322.8275706
2014/1/7 00:00,498.6554924,391.9965841,204.3290986,273.1461689,1252.349416,423.8161422,616.9283615,266.1735142,234.0386708,266.7048468,234.0892386,6049.839008,398.405847,11699.50827,14419.81453,922.2093738,7940.641068,306.9175536,7488.327989,6702.927806,8508.888509,229.2487602,1031.043419,536.591253,677.9087742,632.5713607,6004.365173,4370.338702,6009.116169,229.2487602,306.9175536,1031.043419,536.591253,10.47,1620.990638,1620.990638,275.2682812,478.991062,665.5235496,591.7661728,826.1244558,742.739305,915.3013086,412.9024218,509.306952,668.1622156,1550.960932,1148.564836,672.7095991,609.0462301,451.6642452,698.4781056,698.1391578,2096.950111,2096.481752,2097.429464,398.3507946,2086.33955,3098.587117,2867.580035,670.1115273,554.9111453,541.4025819,430.7530989,536.8398433,446.1316688,557.4970907,460.6863276,696.6591522,7090.886671,1969.926532,1346.025516,1466.682758,1989.631861,1992.442091,327.411612,327.8075052
2014/1/8 00:00,502.5573397,393.705496,203.8232616,274.2844188,1253.482818,422.4645348,614.4938688,265.8169836,233.4592848,265.9186002,233.3991429,6029.116271,400.5244551,11617.32109,14311.85432,917.809494,7884.694213,307.8852556,7435.617739,6646.762777,8444.654526,230.1630332,1035.74877,538.286952,679.0792308,631.9216649,5993.129671,4362.24117,6008.278465,230.1630332,307.8852556,1035.74877,538.286952,10.45,1620.606616,1620.606616,275.4940524,479.317314,666.0314166,591.208422,824.9239548,743.6222556,915.8961075,413.3922828,508.6509288,668.9273808,1552.564726,1148.883612,672.2538732,610.864968,452.80257,697.6561788,698.1392352,2090.246861,2091.947873,2086.871615,400.0863132,2079.662567,3119.342646,2886.488178,671.2680218,557.474765,544.2151761,434.241781,537.745641,448.1722729,558.4364237,462.793719,699.1682208,7118.693736,1968.981092,1353.882407,1463.656656,1980.472612,1986.980005,328.4155224,329.7225987
2014/1/9 00:00,501.721655,394.0082698,204.5083196,273.7870255,1254.882411,422.9328858,615.0375943,266.223848,234.1559754,266.5625112,234.476283,6041.16366,401.9005763,11613.10779,14291.12377,917.2621672,7881.436009,306.9232348,7432.78832,6621.962857,8348.344963,230.1021123,1034.642682,537.5906567,678.1871012,633.2497257,5998.507339,4366.071107,6000.124673,230.1021123,306.9232348,1034.642682,537.5906567,10.43,1618.822512,1618.822512,277.4173507,479.5054535,665.5835542,590.2303721,822.7238,745.7293015,917.337037,413.5545457,507.9430009,670.7025807,1554.38424,1149.345149,674.0303788,612.6173775,453.7321757,703.9805617,705.0742966,2101.655764,2105.761566,2103.537193,401.1509346,2091.067315,3125.104943,2891.856549,672.0246241,558.2744345,543.5077968,433.8099189,538.3288228,448.7989529,559.0458786,463.4412645,697.6274926,7122.395515,1973.989328,1353.506245,1466.348854,1979.132288,1979.884825,327.9393764,328.2667962
2014/1/10 00:00,503.6978245,395.1333434,204.5444472,274.941576,1257.480043,424.497708,614.5397424,266.7839688,234.4556736,265.569308,233.092566,6055.361611,397.120668,11658.42922,14355.13106,917.8818768,7911.972583,307.519578,7462.095653,6662.92419,8381.020112,229.8330295,1033.599046,537.1935408,677.5557474,634.5893281,6008.833037,4373.685994,5985.997978,229.8330295,307.519578,1033.599046,537.1935408,10.42,1626.385169,1626.385169,275.8479768,480.6945576,667.212054,591.2754552,824.662588,747.78066,920.448422,414.2251656,508.7929824,672.5493936,1557.498708,1152.307694,674.6643288,612.1226736,453.441094,701.2520856,698.044404,2095.900783,2085.500154,2091.912502,399.4206192,2085.326107,3115.601683,2882.958811,673.029786,558.3761275,544.906288,434.3538139,539.1120892,448.8617615,559.8565821,463.5031558,702.46062,7125.518822,1980.787882,1358.694799,1466.556494,1980.485748,1973.681498,329.325624,328.467302
2014/1/13 00:00,503.5780501,394.9966752,201.1555748,270.1145967,1233.734117,418.8733601,604.9723799,261.984057,230.3652915,262.3810644,231.0765732,5964.503698,400.3679664,11543.25846,14288.85263,908.2113976,7833.323304,311.9238954,7388.251539,6695.20417,8373.9271,229.7931424,1035.890984,537.5190135,676.198919,622.6036058,5906.084264,4298.646453,5921.903552,229.7931424,311.9238954,1035.890984,537.5190135,10.22,1608.642336,1608.642336,275.5349565,473.9803514,661.5133272,580.5807608,813.9167712,734.1576218,908.6540472,408.6349027,499.5764949,660.3805023,1528.240333,1136.435411,663.6929444,610.6938708,454.7389248,700.7320697,702.291546,2089.849834,2093.6938,2105.088768,399.6009697,2079.310246,3107.672952,2875.500874,670.2997607,558.167573,542.7457352,434.2386021,536.8595364,448.6401693,557.5171299,463.2751408,687.7834324,7073.569539,1952.835184,1333.408511,1445.730411,1960.06233,1962.709218,323.7159325,324.1662444
2014/1/14 00:00,495.5257594,389.4222121,203.581215,274.7592398,1252.853877,424.3537326,611.0452468,265.409584,233.1381914,264.9561875,232.8153125,6023.289548,394.3438125,11603.82765,14346.368,917.1710738,7874.219794,310.1762387,7427.245927,6724.206924,8260.95179,228.553844,1036.002183,535.9463986,669.4896436,631.0535102,5991.018155,4360.558824,5985.207813,228.553844,310.1762387,1036.002183,535.9463986,10.38,1623.220888,1623.220888,272.0448236,480.4516674,670.013625,590.5363244,827.4215,742.8452334,918.07525,414.4008732,508.199033,668.047987,1551.741261,1152.950875,670.1591996,602.6003964,448.324,694.2873436,693.91325,2072.60757,2071.438188,2070.669364,394.4951544,2062.353108,3076.639962,2846.81939,664.1120835,551.2406259,536.7155269,428.0381631,531.8808063,443.0500282,552.3475045,457.5058025,700.9225832,7169.67799,1980.920622,1359.922516,1458.244703,1979.412613,1979.136188,329.0475638,329.2379375
2014/1/15 00:00,505.2472231,396.1470318,205.00686,276.66855,1257.55683,427.24881,615.92769,267.29508,234.94149,267.98317,235.4129078,6059.4948,404.4484458,11673.90096,14405.53837,924.64746,7921.48926,308.7887832,7471.86507,6677.220625,8333.508555,230.70831,1048.31679,541.54467,676.462164,635.1977301,6040.74786,4396.76217,6058.481051,230.70831,308.7887832,1048.31679,541.54467,10.43,1630.37904,1630.37904,277.57566,485.60622,675.7298702,594.15705,830.747827,746.55153,920.6252594,418.48008,511.30767,671.2614,1557.81024,1155.213604,674.88984,609.88029,452.6854164,705.42921,707.8878506,2099.65728,2106.759998,2105.386298,403.05921,2089.07433,3121.36551,2888.23824,671.7179787,557.086488,544.1171512,433.576155,537.9494907,447.7313538,558.6497409,462.3388485,706.63869,7233.29514,1993.22304,1368.22425,1466.19213,1995.94437,2002.452703,331.39752,332.2991308
2014/1/16 00:00,509.2060334,399.6843203,205.1432058,277.1551276,1257.182921,427.8355354,615.7321885,267.1702813,234.7951736,267.341921,235.211459,6063.222273,403.69042,11715.25042,14434.40409,924.0521394,7949.45051,304.5305187,7498.317,6624.271467,8308.094973,230.0750644,1047.198577,540.3919846,679.9922387,634.7154993,6029.031739,4388.188663,6040.526856,230.0750644,304.5305187,1047.198577,540.3919846,10.44,1627.832518,1627.832518,277.4576987,487.139471,676.799347,595.4599248,831.272722,744.9300482,917.365883,419.9686868,512.2528723,669.8924154,1557.333452,1152.989271,673.5232686,614.219333,455.181545,706.5035185,705.634377,2100.751147,2098.366326,2098.215689,403.9324185,2090.161159,3144.924013,2909.826269,674.8787871,558.7762046,546.090156,434.4244427,540.4585502,449.0730009,561.2542619,463.7234936,705.8983763,7228.121008,1995.456405,1375.488221,1465.654408,1994.548691,1996.207934,332.2230678,332.426703
2014/1/17 00:00,506.5470012,397.522587,204.001875,276.23365,1252.722625,426.7417,612.610075,266.260225,233.619925,267.20083,234.314574,6048.73115,404.0898706,11688.8541,14389.79239,919.9729,7931.290675,304.7399784,7481.579875,6616.373762,8353.43915,230.0838925,1046.000725,540.3783,678.4769915,631.541449,5997.655125,4365.3379,6019.007004,230.0838925,304.7399784,1046.000725,540.3783,10.38,1619.926,1619.926,277.44255,484.7689,672.9350134,592.96545,827.0893384,741.962375,912.593604,417.977175,510.458025,667.010575,1551.925375,1147.319256,670.637275,610.192275,451.7749418,703.277575,704.5880348,2091.094775,2094.443429,2076.843503,403.470375,2080.5169,3128.330975,2894.408825,673.8620158,557.967795,545.3651156,433.8724862,539.6227375,448.4021658,560.3886173,463.032878,705.090925,7193.257225,1987.4316,1372.70595,1459.74675,1985.316025,1997.840052,331.2386,333.3844202
