Datetime,502,504,54R,54S,558,559,55E,55Q,57I,57J,596,597,599,59M,59O,59S,59T,59X,601,603,60N,60O,60T,60U,61D,61E,62H,639,63Q,640,64B,64C,64D,64E,64F,64S,64Z,65F,66A,66L,66M,66P,66Q,66R,66S,66T,66U,66V,66W,676,677,678,67I,68I,69C,69H,69M,72E,72F,72G,72H,72I,72L,772,780,815,816,817,AD8,C15,D03,D16,E21,E22,E23,E24,E25,E26,E27,E28,F00,F0A,F16,F17,F18,F60,F61,HS7,HS8,IN7,IO0,IP4,IP6,IR3,IR4,J63,J90,J92,J93,J94,J95,JB1,JB2,JB3,JB7,JB8,JB9,JE1,JE2,JE7,JE8,JK3,L03,L0A,L0B,L12,L13,L14,L15,L21,L22,L24,L29,L30,L31,L44,L45,L46,L62,L63,L66,L71,L72,L73,L74,L88,L90,L93,L94,L95,L96,L97,M59,MS8,MS9,MV1,MV2,MV5,MV6,MV7,MV8,MY0,MY1,MY2,MY3,S61,S63,S66,S68,S75,S76,S77,S83,SB0,SB9,SD6,SE5,SH6,SI1,UG5,V41,Y07,Y10,Y17,Y22,Y24,Y26,Y55,Y56,Y76,Y84,Y85,Y86,Y87,Y88
2014/1/2 00:00,656.564409,280.9136307,280.0142274,1662.3971,495.5712183,407.729496,330.6806133,493.4185949,235.3438635,616.0530747,261.7263603,264.7243713,447.9028434,262.9645389,297.1028901,650.209658,298.3556975,382.5462036,604.0992165,312.0929451,490.1747985,313.2921495,420.0213411,265.6237746,416.1239268,327.6826023,337.2762375,64.80800379,5599.210511,57.97565609,351.3668892,475.3114905,1996.375525,1557.466715,7181.52452,398.7742088,291.2567687,3149.409945,8146.139355,3707.340403,4990.564888,2660.921297,2647.543514,2028.754044,195.0628974,194.2711128,2244.910637,1937.314708,163.3915995,310.8937407,1764.329474,312.3475509,3517.266505,327.0830001,292.6832094,548.0364108,754.2995676,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1795.072486,407.729496,36.51577398,504.9412977,200.5669359,620.5193227,795.6721194,1611.120767,2055.567875,402.9326784,627.9873026,649.5958332,398.735463,559.674136,664.4948202,464.3919039,429.0153741,330.6806133,493.4185949,36.51577398,504.9412977,200.5669359,320.4873759,421.8132275,425.237135,308.9150534,745.3055346,818.1572019,818.1572019,745.3055346,931.2813013,931.2813013,364.5581376,303.3987132,436.2106005,3018.997077,448.8022467,322.8857847,360.3609222,584.9119461,903.7091196,337.2762375,495.5712183,763.7905856,364.5581376,508.7624667,337.2762375,441.9068214,463.3772626,720.7218444,451.9977811,408.48495,318.9883704,260.2273548,532.4467536,263.824968,260.5271559,217.9553997,264.1247691,718.9343497,715.6252257,298.3556975,261.3184385,265.0221644,297.1028901,641.5676309,565.4354874,398.5076485,370.7853773,604.1188468,420.6321534,469.7883237,345.3126936,348.9940656,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.26808884,754.8991698,558.8292504,727.5763768,976.5490623,695.477419,1004.944294,691.3413366,998.9372652,856.2319416,493.1728095,519.2555052,292.3060725,570.8212944,388.0681693,714.8190987,351.6666903,332.1796188,276.1168131,276.9563923,723.0496007,541.4108065,336.0860271,449.8665406,317.8521242,453.9618236,307.715849,15.1213,70582.77258,630.4817133,280.6138296,633.748654,630.4817133,280.6138296,633.748654,337.5760386,339.0966824,310.5427495,272.1580663,321.4717218,554.7358348,877.8176208,550.1350185
2014/1/3 00:00,659.1034892,281.4858566,280.5846212,1666.083843,497.181529,409.1608716,331.0538036,491.7874753,235.2224394,614.4267206,262.2595014,265.2636194,448.8152292,263.7359021,296.2060348,648.4703907,297.7795722,383.7460333,605.329777,312.7286838,491.173293,313.930331,420.8769318,266.1648548,416.6711666,328.3500974,337.963275,65.07820823,5570.446791,58.1121347,352.6834532,474.1503932,2001.643823,1561.840948,7162.295991,403.9234408,292.1504755,3184.947131,8130.284683,3708.884083,4966.274188,2661.968903,2654.138253,2033.787886,195.2383972,194.6668464,2250.384794,1941.861875,163.724431,311.5270366,1768.223855,312.5455014,3522.628767,328.0496856,297.00253,549.753594,756.7373242,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1789.138421,409.1608716,36.56011606,503.6822516,200.945453,622.1888872,799.095388,1617.689577,2053.284488,404.053871,630.0129792,648.1186767,399.547694,561.1053096,661.9610283,465.63829,430.1896976,331.0538036,491.7874753,36.56011606,503.6822516,200.945453,321.1402142,420.8289822,425.237135,309.9048129,746.523323,819.8238022,819.8238022,746.523323,928.6128808,928.6128808,365.6011606,304.3171534,437.3995808,3027.850532,450.0168764,323.8439204,361.0949836,586.1034218,901.1318459,337.963275,496.2802936,761.2656832,365.3007488,509.7988246,337.963275,442.8069932,461.8454522,722.490379,451.9977811,408.48495,319.6381552,260.7574424,533.5313568,264.362384,261.0578542,218.3993786,264.6627958,717.3780603,713.7784368,297.7795722,262.0952433,265.7867256,296.2060348,639.4467673,563.5662978,403.6534385,375.5731993,602.5319443,426.603634,471.0457024,349.148457,352.870722,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.11617882,757.037736,560.268007,725.5813543,973.7309978,693.9986724,1002.852692,691.5479636,999.4700586,858.8773362,494.7782346,520.9140612,293.2019168,572.5848908,387.1954768,712.0459192,352.983865,333.457098,276.0784442,276.4510078,721.0695426,542.8771679,336.9989531,451.0653136,318.7008704,455.1719429,308.5379392,15.1217,70723.84719,632.6672508,281.1854448,636.5756144,632.6672508,281.1854448,636.5756144,338.5640986,340.436701,315.0926841,275.9423506,325.8927761,556.5934979,880.5069858,551.8564766
2014/1/6 00:00,661.5606168,283.9147254,282.705291,1678.997306,500.1011244,411.8124132,333.8038944,492.86652,237.9562182,616.4938721,264.563775,267.2850024,451.7237484,263.6835882,299.6373726,650.5838064,298.5949667,386.1119322,610.4620134,314.7553026,494.9610282,316.2670956,423.6043986,267.8897196,420.278454,331.082667,340.4557836,65.42133028,5604.713777,58.27325155,355.271355,475.2054697,2017.034221,1573.776513,7180.243752,405.6980542,293.9530309,3208.505959,8150.780075,3727.779179,4966.040911,2662.711374,2674.361817,2049.084232,195.0929975,195.9283728,2267.084783,1956.562501,164.785437,313.8482268,1781.79923,312.5595181,3550.294681,330.7803084,297.9810258,551.804445,759.5248032,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1794.034133,411.8124132,36.8877492,505.188183,202.6709696,627.0191703,803.3668002,1623.584461,2058.539165,406.9746756,629.2262572,648.6635584,402.7416552,560.6356665,663.4958044,468.9581886,432.9775152,333.8038944,492.86652,36.8877492,505.188183,202.6709696,323.8260606,422.2223188,425.237135,312.2457262,752.2681968,826.3460538,826.3460538,752.2681968,931.1070007,931.1070007,368.2727748,306.2892618,441.443556,3055.333653,453.2355414,325.9425708,364.0397544,590.8087044,903.58862,340.153425,499.7987658,762.3002176,368.2727748,513.7072614,340.153425,445.978935,462.8838067,728.3818674,451.9977811,408.48495,321.7095504,263.051982,536.9888736,266.3779266,263.3543406,219.8147022,266.3779266,719.5851192,722.3346954,299.0056888,262.0406998,265.3264766,299.9397312,640.3157539,564.3321654,405.4274084,376.7389536,604.1722091,428.4323014,475.3077192,352.40694,355.656082,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.29767928,762.5483892,564.5035062,726.978117,975.8757096,696.1739595,1005.858423,697.5412902,1008.063572,865.0479546,498.2869728,524.592171,295.1019936,578.4120018,388.1323845,713.8350098,355.271355,335.3156874,279.3793464,276.8266954,723.6923402,546.3589666,339.1586652,453.9037539,320.7057198,458.0339724,310.4769284,15.1222,71249.59466,635.2554186,283.6123668,633.3334782,635.2554186,283.6123668,633.3334782,341.0605008,339.6671767,315.0317112,276.6000076,325.8575432,553.6533908,884.0965464,553.9209552
2014/1/7 00:00,664.2211499,284.969366,284.0598893,1685.563484,502.3342973,413.5087396,334.6874256,495.8398158,238.8892132,620.5222674,265.5671964,267.9924676,453.2225555,265.4662794,300.4304699,655.2021546,300.5590224,387.7099172,612.9872958,315.5884149,496.8774371,317.4073683,425.0287778,268.9019443,421.9971888,332.5653133,341.6600803,65.76729177,5642.500219,58.59662369,356.8180253,478.912728,2025.404611,1580.064187,7228.279346,406.2462504,295.1858209,3213.70285,8207.98616,3736.130284,4989.775199,2686.452691,2683.865742,2056.629978,196.5193608,196.4469672,2275.207545,1963.560195,165.2216005,315.285256,1788.940669,315.4218312,3562.420234,332.2621544,298.7980416,554.1744692,762.7477924,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1805.831269,413.5087396,36.9853858,508.6383456,203.2983583,628.8849485,808.2216274,1634.496112,2073.361828,408.3550383,634.5593646,652.5888356,403.8076548,564.7867344,666.5054292,470.8057717,434.7298626,334.6874256,495.8398158,36.9853858,508.6383456,203.2983583,324.9863408,425.241474,426.4839405,313.3753549,754.2593432,829.4427504,829.4427504,754.2593432,936.7698102,936.7698102,369.5506991,307.4031246,443.2183118,3067.664909,455.0415089,326.8052942,365.3064745,592.9788084,909.1084716,341.0537625,501.1216617,766.6732206,369.5506991,515.6732889,341.0537625,447.1593775,466.1141982,731.2192668,451.9977811,408.48495,322.5610696,264.0514019,538.7133653,267.0829909,264.3545608,220.3965203,267.0829909,724.561929,724.549771,300.9718782,264.227712,267.1177026,301.0367877,644.055048,567.2638692,405.9756,376.7453568,608.1365934,429.2515344,477.1721086,354.0983948,356.8569517,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.60666531,765.7793814,566.6039841,731.9933334,982.1839482,701.0291484,1012.735277,700.9033768,1012.853885,868.5502485,500.212185,526.5870093,296.4894042,579.3366579,390.9744426,718.7819478,356.5148664,336.506379,280.4219825,278.2648092,728.2776312,548.6115034,340.5596135,455.7569639,322.0153836,459.9041777,311.74436,15.1224,71498.51077,637.8463256,284.6662071,638.6879226,637.8463256,284.6662071,638.6879226,342.2663981,342.2574582,315.5783664,277.1460096,326.4043824,558.1810416,887.6492592,556.2965815
2014/1/8 00:00,661.6695792,283.6590792,283.3566708,1681.390704,499.8810852,412.787466,333.5564652,493.96644,238.2978192,618.6929661,264.60735,267.0266172,451.7981496,265.0953228,299.384316,653.2706169,300.0846123,387.1432337,610.5625596,314.504736,494.1353256,316.016778,423.6741684,267.9338424,420.347676,331.137198,340.8142668,65.49258719,5621.338087,58.5473723,356.5395036,477.9125307,2020.995337,1576.757398,7209.851831,404.1330982,294.7272266,3198.825357,8179.672608,3746.840076,5001.821844,2680.179576,2677.826382,2051.840994,195.9400212,195.9606432,2269.87745,1959.001615,164.812578,314.504736,1784.511968,314.4919668,3547.250532,331.7420148,297.909989,553.1049636,761.4643512,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1800.507674,412.787466,36.80310228,507.1388784,202.4019421,626.4692414,804.1039356,1629.265975,2070.9543,407.6465232,633.923598,650.595387,402.203172,563.5333803,663.5079672,469.9426536,433.956054,333.5564652,493.96644,36.80310228,507.1388784,202.4019421,323.576988,423.5762223,425.0350062,312.4483589,751.1824656,825.574932,825.574932,751.1824656,932.3616555,932.3616555,368.6358396,305.7348924,441.516264,3047.067038,453.6126,325.9962552,363.4948968,590.3011968,904.3702239,340.20945,499.5786768,764.0014272,368.0310228,513.1870548,340.20945,445.7499816,463.5051762,728.5018356,451.9977811,408.48495,321.4601292,263.095308,537.0773184,266.119392,263.3977164,219.8509068,266.4218004,722.4259185,720.6392172,300.0846123,263.8604067,266.7418776,299.384316,641.7447333,565.5915738,403.8634964,375.0161038,605.5205277,427.5884548,475.9908216,352.900581,355.9039902,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.63603825,764.1860268,565.503708,730.2470538,980.1117447,699.3741513,1010.573009,698.563404,1009.741648,867.0048828,499.5786768,526.4930244,296.360232,577.9024524,390.2334876,717.4862541,355.6322784,335.673324,279.4253616,277.4444838,726.5423055,547.4075893,339.8102709,454.7375592,321.2938046,458.8745062,311.048208,15.1225,71225.64564,635.3600484,283.3566708,637.6283463,635.3600484,283.3566708,637.6283463,341.4190836,342.0717597,314.086097,276.0722432,325.4093726,558.5937159,886.056612,555.2218224
2014/1/9 00:00,661.6267677,283.7704198,283.4678927,1682.958257,499.7747692,412.0419102,333.6873913,494.0456419,238.3913548,618.6882976,265.0137396,267.1314293,451.9754874,264.9170636,300.1068832,652.8313353,299.8828251,386.3271067,611.4072691,314.628184,494.9343356,316.4433466,423.8404671,268.0390106,422.0253045,332.4772829,340.6455146,65.42148538,5620.849002,58.34345828,356.0743967,476.7684421,2020.578501,1576.468718,7200.067336,403.4078594,294.1168466,3191.249116,8172.526867,3750.730986,5002.160704,2680.022779,2677.667362,2051.738792,196.2196263,196.0375608,2269.860831,1958.560445,164.8772695,314.628184,1785.817471,314.6918535,3553.785844,331.2671745,296.4416182,552.4144846,761.1581836,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1799.708313,412.0419102,36.84780078,506.7978608,202.481388,626.0163028,803.5119776,1626.524953,2070.384443,407.8065308,633.497326,653.1826764,402.0585159,562.7430792,665.6384864,470.1271134,434.1263885,333.6873913,494.0456419,36.84780078,506.7978608,202.481388,323.703997,423.2913951,424.7177957,312.2684726,751.4773164,826.2015101,826.2015101,751.4773164,931.7347035,931.7347035,368.1754807,305.552371,441.689566,3047.658005,453.1855958,326.1242138,363.6375742,590.5328992,904.1734562,340.3429875,500.0772963,763.4876864,368.1754807,513.6910158,340.3429875,445.9249454,463.1934994,729.6953652,451.9977811,408.48495,321.5863073,263.5011041,536.9856025,266.223848,263.5011041,219.9372017,266.5263751,721.9401345,722.4347148,299.8828251,263.271616,266.1511493,300.1068832,641.3132021,565.2112506,403.1391,373.8443254,605.9360787,426.2524084,476.1776554,353.11296,355.61376,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.70784038,764.1834546,565.725677,729.3446487,979.041322,698.9038681,1009.893465,697.6274926,1008.020297,866.1350873,498.8671879,525.4895727,295.5689767,578.1292881,389.9710812,717.0037917,355.7718696,335.805081,279.8375675,277.2579206,726.4651154,545.7044335,338.751695,453.3035814,320.2793902,457.430051,310.0660753,15.1229,71187.04685,634.7018558,283.1653656,634.7314117,634.7018558,283.1653656,634.7314117,340.6455146,340.6076532,312.5671822,274.6721068,323.5863176,555.338565,886.1018759,553.624593
2014/1/10 00:00,662.8811184,284.3077176,283.7034504,1684.696954,498.8225736,411.8080968,334.7640288,494.961992,238.3834104,618.70249,265.5754344,267.0861024,451.689732,264.336014,300.9250656,652.823624,299.690442,386.3684477,612.7269408,314.218944,496.7076384,317.5424136,423.8934408,267.9925032,423.5913072,333.5554944,340.8067008,65.26387894,5626.287228,58.26491954,355.9133808,476.87368,2020.06525,1575.928858,7203.259156,405.452322,294.157273,3200.033124,8179.205808,3743.737438,4996.073994,2665.148334,2678.11223,2052.091411,194.860452,195.7825728,2269.929737,1959.034262,164.662812,314.8232112,1788.026645,313.256676,3563.967946,331.1384256,297.29583,551.9980872,761.0745384,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1803.075828,411.8080968,36.98115264,507.294932,203.3056994,629.175094,802.7689752,1625.481492,2067.000744,409.0888944,632.679822,654.3446575,403.9526232,562.793162,667.779871,471.328416,435.3745176,334.7640288,494.961992,36.98115264,507.294932,203.3056994,325.0957536,423.842038,426.1896562,312.6478493,754.4275992,827.846064,827.846064,754.4275992,934.014656,934.014656,368.602992,305.7592032,442.9278576,3055.477097,453.8046672,325.7000208,364.6752552,591.8797224,906.882188,340.2024336,499.7289744,763.820084,368.9051256,514.8356544,340.2024336,445.9491936,464.54074,731.4654456,451.9977811,408.48495,321.4701504,264.0647664,536.8914072,266.1797016,264.0647664,219.6511272,266.1797016,722.299186,725.4227736,299.690442,262.691622,265.15821,300.9250656,641.31288,565.25975,405.183276,374.781078,607.602844,427.245048,476.1625536,353.2059332,354.7004576,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.73446196,763.4916072,564.989832,729.287852,978.824338,698.455502,1009.24559,701.8563528,1014.262495,866.2170312,499.1247072,524.5039296,295.1845272,577.9815768,389.309806,716.132716,355.9133808,335.9725632,279.7757136,277.080052,725.999068,545.2454012,338.4681867,452.9043091,319.9987598,457.0254114,309.7957081,15.1231,71388.12701,635.991228,283.7034504,633.913116,635.991228,283.7034504,633.913116,341.1088344,339.566948,313.976682,275.503104,324.20043,553.337908,885.8557152,553.5087552
2014/1/13 00:00,660.0793712,283.6654962,283.3643651,1681.817194,501.3832815,412.549607,333.6532588,495.9290448,238.1947001,620.7351084,264.995368,266.1998924,450.1909945,265.2643728,300.5288378,654.922908,300.687876,386.9835766,611.5972641,313.4774751,495.6617906,316.7899172,422.4869333,267.4044168,422.4869333,332.7498655,339.9770119,65.66163636,5646.753551,58.6258978,355.9369602,479.4529968,2016.674977,1573.409998,7228.042258,410.7270141,294.6266682,3242.810899,8205.895706,3740.048262,5016.956616,2683.948219,2679.163397,2052.810709,195.65307,195.4340839,2270.528494,1959.460068,164.4175806,314.3808684,1785.105161,315.104418,3556.05716,331.24421,301.5808692,548.9619953,756.7424543,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1809.893873,412.549607,36.94878597,509.1098832,203.0828138,628.2588479,807.3324791,1635.247764,2073.510641,408.0326405,635.5635516,657.3437568,403.515674,565.9522488,671.7417696,470.3667782,434.5321773,333.6532588,495.9290448,36.94878597,509.1098832,203.0828138,324.6193258,425.4939396,426.1896562,312.6041949,753.4300122,826.0026073,826.0026073,753.4300122,937.07523,937.07523,368.8855975,305.9491976,442.3615859,3051.060305,454.1056988,324.6193258,363.7663688,590.5180871,909.4778496,339.0736186,498.3719705,765.3124296,367.9822042,513.4285255,339.0736186,444.4695036,465.8602572,729.9417864,451.9977811,408.48495,320.4034904,263.4897125,535.4110958,265.2964991,263.4897125,218.9223097,265.2964991,724.5342108,723.9191644,300.687876,263.616768,265.676274,300.5288378,642.565872,566.36415,410.4548292,379.4257506,609.613776,432.773991,475.1848758,355.6792088,357.1841984,619.0875036,408.48495,452.4027,453.8045677,408.48495,45.81050486,761.861683,563.7174192,731.5365312,981.5605596,700.6439412,1012.45315,699.2264142,1010.595972,866.9564369,499.5764949,526.3771628,296.3130024,577.8705809,390.8942388,717.9437916,356.2380913,336.3634387,279.4496608,277.6214088,728.6532228,546.9685074,339.5373605,454.2803548,320.9696169,458.4148848,310.7341708,15.124,71143.4269,633.2787033,283.063234,633.9159468,633.2787033,283.063234,633.9159468,339.9770119,340.2303912,317.0954085,278.7173376,327.1662498,552.7714104,881.1095986,550.4676508
2014/1/14 00:00,662.9207564,283.2040902,283.8072938,1684.446053,502.4685988,413.7976696,334.4763962,496.12325,238.5670238,620.9781875,265.1079822,266.6159912,450.894691,264.9561875,300.9985964,655.179375,300.805625,388.2519971,611.9500522,313.665872,495.5317574,316.68189,423.1473254,267.5207966,421.6393164,332.0635818,340.5084322,65.8155448,5649.376875,58.65297625,356.7949294,480.0528125,2022.240069,1577.679016,7239.526063,410.1188898,295.5999242,3245.276766,8211.993563,3714.829371,4977.715,2680.466563,2685.462427,2057.829081,195.317625,195.7395682,2275.887183,1964.030922,164.6745828,314.8722792,1788.197072,314.4036875,3555.282018,332.0635818,302.0065397,551.931294,760.6397396,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1810.602625,413.7976696,37.00654086,509.30925,203.2192928,630.0914005,808.8960276,1637.124313,2077.207063,409.2736426,634.9883125,652.4636626,404.146412,564.525625,666.3142938,471.7052152,435.814601,334.4763962,496.12325,37.00654086,509.30925,203.2192928,324.8251386,425.6605625,426.9475081,313.2737897,752.496491,826.0873302,826.0873302,752.496491,935.7939375,935.7939375,369.7638068,306.7290306,442.7514424,3054.62303,455.1171162,325.1267404,363.7317708,590.8379262,908.5978125,339.6036268,498.8493772,765.612125,368.2557978,513.6278654,339.6036268,445.1642568,465.630625,730.1779578,452.7043018,408.48495,320.9043152,263.5999732,535.9463986,265.7111858,263.5999732,219.2645086,265.7111858,724.8179375,725.352329,300.805625,263.3079375,265.36825,300.9985964,642.8175,566.5859375,409.8465665,379.0740336,609.028375,432.7217237,475.6260386,358.5452104,360.3164288,618.917875,408.48495,452.4027,453.910709,408.48495,45.71202961,763.9573594,565.503375,732.647125,983.181125,701.330375,1013.67375,701.8273886,1014.286853,869.5179894,500.9605898,528.4063536,297.3793748,579.3770578,391.459375,719.0490625,357.0965312,337.1908124,279.8864704,277.730125,728.9385625,548.3452486,340.3938235,455.4036379,321.7638803,459.5476466,311.5033871,15.1242,71187.67606,636.0781962,282.9024884,635.8124375,636.0781962,282.9024884,635.8124375,340.810034,340.363625,318.3459377,279.1313825,328.6942231,554.636125,885.5028848,553.439303
2014/1/15 00:00,662.79504,283.62306,284.53017,1689.03882,501.9342,414.2469,334.42122,495.9750054,238.8723,621.3086726,265.78323,266.99271,451.74078,266.3340428,300.25341,655.528062,300.965714,388.424502,613.50873,314.4648,496.18917,317.18613,423.92274,268.20219,422.71326,332.90937,341.37573,65.735238,5647.023815,58.71717396,357.40134,479.8960152,2025.879,1580.79036,7238.431563,406.0599444,295.71786,3208.062175,8216.776274,3767.22783,5037.671314,2698.796663,2690.79063,2061.86103,196.6584186,196.23813,2280.47454,1967.82396,165.09402,315.67428,1792.75173,316.6324224,3562.52334,332.607,298.5497136,551.82525,760.76292,619.2472636,404.4432492,453.555,455.06685,404.1738,453.555,1811.566229,414.2469,36.949614,509.5803048,203.374062,628.1313432,807.93264,1637.58331,2080.786245,409.71135,637.7999446,657.5306232,403.36158,565.6506296,668.4316584,472.30194,436.31991,334.42122,495.9750054,36.949614,509.5803048,203.374062,325.04775,425.4748176,425.918382,313.164609,752.29656,827.88906,827.88906,752.29656,936.2919678,936.2919678,369.79851,306.60318,443.27442,3057.26307,455.06685,325.95486,363.44874,591.73809,908.6690872,340.16625,500.11998,765.6073026,368.58903,514.63374,340.46862,445.99575,465.0538704,732.34014,453.555,404.1738,321.72168,264.27138,537.00912,266.38797,264.27138,219.82299,266.38797,725.2036862,723.57141,301.3779958,264.6849156,267.1586064,300.55578,643.159608,566.887475,405.7904952,375.0732864,609.7647822,428.424228,477.13986,357.9122365,359.4277435,619.6595454,404.4432492,453.555,455.36922,404.1738,45.74966273,765.90321,566.94375,732.6247586,983.7043748,701.7036236,1014.213228,699.38181,1010.82291,869.61612,501.02709,527.93802,297.22971,579.94566,391.66771,719.431741,356.7966,336.84018,280.29699,277.8779332,728.9142224,548.5717488,340.5321177,455.5748316,321.8849598,459.7203243,311.6194983,15.1244,71425.8414,635.88411,283.32069,637.7999446,635.88411,283.32069,637.7999446,341.6781,342.193894,314.1777672,276.18543,324.4168368,556.58043,885.64173,553.3371
