Datetime,51E,51G,57F,59D,59F,59I,67G,67H,68A,68P,696,69J,69K,69L,706,E78,E79
2014/2/12 00:00,479.272382,398.0330882,544.1061035,376.304536,339.3113723,493.7090515,352.9979325,325.3213408,7751.266499,7094.531493,34014.2884,288.5709543,264.1001882,26.79863208,3448.64899,3920.243545,2341.585322
2014/2/13 00:00,479.36921,397.8727952,545.0184854,376.3735545,339.1528038,494.544602,352.9889489,325.3166588,7795.983531,7060.059041,34211.16102,288.5520448,261.2273611,26.5461593,3468.463087,3941.324747,2354.273296
2014/2/14 00:00,480.272925,398.300276,546.8570198,377.116674,339.544612,496.216721,353.535501,325.826864,7781.4836,7081.585507,34148.39131,289.013527,262.8749678,26.67402192,3462.21392,3938.38973,2352.35099
2014/2/18 00:00,480.2569253,398.0043178,547.2381485,377.069497,339.2654582,496.5587032,353.464728,325.7336755,7796.55203,7115.267304,34218.72311,288.9308674,263.604495,27.02591178,3469.415592,3947.882438,2358.04967
2014/2/19 00:00,481.0921648,398.7058899,549.7437204,377.745317,339.8888844,498.818334,354.054713,326.2993958,7791.509045,7105.751304,34197.28082,289.4439746,263.8630225,26.888206,3467.139624,3945.198421,2356.623599
2014/2/20 00:00,481.554614,399.0362615,548.5516645,378.09514,340.1336585,497.7436348,354.4186035,326.6389445,7797.452425,7072.353032,34224.90461,289.7412355,262.7294519,26.6037195,3470.025895,3941.733015,2354.28051
2014/2/21 00:00,481.006717,398.5084719,548.6421756,377.655931,339.6897158,497.8296234,354.0372366,326.2845109,7810.583666,7118.579419,34282.36763,289.4125981,263.6632632,26.74924616,3475.930112,3947.696052,2357.917785
2014/2/24 00:00,482.2847451,399.5560705,550.933614,378.6837384,340.5902112,499.886374,354.9817754,327.1722834,7818.605196,7099.629446,34320.99018,290.2045233,263.4024251,26.96444294,3479.837632,3953.26837,2361.372725
2014/2/25 00:00,481.6815415,398.8930016,550.8093761,378.1882658,340.0319611,499.7891469,354.5343972,326.7456622,7841.652666,7147.258928,34422.76345,289.7750913,264.0639892,27.26339937,3490.00973,3960.654826,2365.690888
2014/2/26 00:00,482.4966827,399.5462245,550.297704,378.8465493,340.6037475,499.3534772,355.1420824,327.3098211,7847.362227,7155.520095,34449.17656,290.2507251,264.5471899,27.4943598,3492.842564,3952.666729,2361.03774
